device_id,has_race_token,has_ethnicity_token,has_race_or_ethnicity,has_racial_or_ethnic_adj,has_race_ethnicity_phrase,has_demographic_token,fda1_style_table_proxy
K212333,False,False,False,False,False,False,False
K212336,False,False,False,False,False,False,False
K212365,False,False,False,False,False,False,False
K212383,False,False,False,False,False,False,False
K212441,False,False,False,False,False,False,False
K212442,False,False,False,False,False,False,False
K212456,False,False,False,False,False,False,False
K212466,False,False,False,False,False,False,False
K212516,True,True,True,False,False,True,True
K212519,False,False,False,False,False,False,False
K212616,False,True,True,False,False,True,False
K212624,False,False,False,False,False,False,False
K212654,False,False,False,False,False,False,False
K212662,True,False,True,False,False,False,True
K212690,False,False,False,False,False,False,False
K212704,False,False,False,False,False,False,False
K212758,False,True,True,False,False,False,False
K212783,False,False,False,False,False,False,False
K212915,False,False,False,False,False,False,False
K212960,False,False,False,False,False,False,False
K213037,False,False,False,False,False,False,False
K213096,False,False,False,False,False,False,False
K213155,False,False,False,False,False,False,False
K213165,False,False,False,False,False,False,False
K213272,False,True,True,False,False,True,False
K213275,False,False,False,False,False,False,False
K213305,False,False,False,False,False,False,False
K213307,False,False,False,False,False,False,False
K213319,False,False,False,False,False,False,False
K213353,False,False,False,False,False,False,False
K213357,False,False,False,False,False,True,False
K213409,False,False,False,False,False,True,False
K213436,False,False,False,False,False,False,False
K213504,False,False,False,False,False,False,False
K213544,False,False,False,False,False,False,False
K213566,False,True,True,False,False,True,False
K213583,False,False,False,False,False,False,False
K213603,False,False,False,False,False,False,False
K213628,False,False,False,False,False,False,False
K213642,False,False,False,False,False,False,False
K213645,False,False,False,False,False,False,False
K213657,False,False,False,False,False,False,False
K213668,False,False,False,False,False,False,False
K213686,True,True,True,False,False,True,True
K213689,False,False,False,False,False,False,False
K213693,False,False,False,False,False,False,False
K213706,False,False,False,False,False,False,False
K213713,False,False,False,False,False,False,False
K213717,False,False,False,False,False,False,False
K213721,False,False,False,False,False,False,False
K213725,False,False,False,False,False,False,False
K213737,False,False,False,False,False,False,False
K213760,False,False,False,False,False,False,False
K213776,False,False,False,False,False,False,False
K213779,False,False,False,False,False,False,False
K213794,True,False,True,False,False,True,True
K213795,False,False,False,False,False,False,False
K213857,False,False,False,False,False,False,False
K213882,True,True,True,False,True,False,True
K213886,False,False,False,False,False,False,False
K213938,False,False,False,False,False,False,False
K213941,True,True,True,False,False,True,True
K213944,False,False,False,False,False,False,False
K213960,False,False,False,False,False,False,False
K213971,True,True,True,False,False,True,True
K213976,False,False,False,False,False,False,False
K213986,False,True,True,False,False,True,False
K213998,False,False,False,False,False,True,False
K213999,False,False,False,False,False,False,False
K214019,False,False,False,False,False,False,False
K214036,False,False,False,False,False,False,False
K214043,False,True,True,False,False,False,False
K214081,False,False,False,False,False,False,False
K220013,False,False,False,False,False,False,False
K220034,False,False,False,False,False,False,False
K220043,False,False,False,False,False,False,False
K220068,False,True,True,True,False,True,False
K220080,True,False,True,False,False,False,True
K220105,True,False,True,True,False,False,True
K220141,False,False,False,False,False,False,False
K220151,False,False,False,False,False,False,False
K220164,False,True,True,False,False,False,False
K220192,False,False,False,False,False,False,False
K220264,False,False,False,False,False,False,False
K220332,True,True,True,False,False,True,True
K220349,False,False,False,False,False,False,False
K220358,False,True,True,False,False,True,False
K220408,True,False,True,True,False,False,True
K220416,False,False,False,False,False,True,False
K220437,True,True,True,False,True,False,True
K220439,False,False,False,False,False,False,False
K220446,False,False,False,False,False,False,False
K220497,True,False,True,True,False,False,True
K220499,False,False,False,False,False,True,False
K220575,False,False,False,False,False,False,False
K220589,False,False,False,False,False,False,False
K220590,False,False,False,False,False,False,False
K220598,True,True,True,False,False,False,True
K220619,False,True,True,False,False,True,False
K220624,False,False,False,False,False,False,False
K220709,False,False,False,False,False,False,False
K220766,False,False,False,False,False,False,False
K220783,False,False,False,False,False,False,False
K220786,False,False,False,False,False,False,False
K220800,False,True,True,False,False,True,False
K220813,False,True,True,True,False,True,False
K220815,False,False,False,False,False,False,False
K220848,False,True,True,False,False,True,False
K220851,False,True,True,False,False,True,False
K220882,False,True,True,False,False,True,False
K220899,False,False,False,False,False,False,False
K220928,False,False,False,False,False,False,False
K220939,False,False,False,False,False,False,False
K220940,False,True,True,False,False,True,False
K220956,False,False,False,False,False,False,False
K220961,False,False,False,False,False,False,False
K220975,False,True,True,False,False,False,False
K220986,False,False,False,False,False,False,False
K221100,False,False,False,False,False,False,False
K221106,False,False,False,False,False,False,False
K221147,False,True,True,False,False,True,False
K221148,False,True,True,False,False,True,False
K221179,True,True,True,False,True,True,True
K221183,True,True,True,True,True,True,True
K221203,False,False,False,False,False,False,False
K221219,False,False,False,False,False,False,False
K221240,True,False,True,False,False,False,True
K221241,False,True,True,False,False,True,False
K221248,False,False,False,False,False,True,False
K221305,False,False,False,False,False,False,False
K221309,False,False,False,False,False,False,False
K221314,False,False,False,False,False,False,False
K221330,False,False,False,False,False,False,False
K221347,False,False,False,False,False,False,False
K221393,False,False,False,False,False,False,False
K221432,False,False,False,False,False,False,False
K221449,False,False,False,False,False,False,False
K221456,False,False,False,False,False,False,False
K221463,False,False,False,False,False,False,False
K221552,False,False,False,False,False,False,False
K221564,False,False,False,False,False,True,False
K221592,False,False,False,False,False,False,False
K221599,False,True,True,False,False,True,False
K221624,False,False,False,False,False,False,False
K221632,False,False,False,False,False,False,False
K221680,False,False,False,False,False,False,False
K221706,False,False,False,False,False,False,False
K221716,False,False,False,False,False,False,False
K221727,False,False,False,False,False,False,False
K221733,False,False,False,False,False,False,False
K221738,False,False,False,True,False,False,False
K221762,False,True,True,False,False,True,False
K221772,False,False,False,False,False,True,False
K221868,True,True,True,False,False,True,True
K221892,False,True,True,False,False,False,False
K221921,False,False,False,False,False,False,False
K221923,False,False,False,False,False,False,False
K221962,False,False,False,False,False,False,False
K222036,False,False,False,False,False,False,False
K222070,False,False,False,False,False,False,False
K222076,False,False,False,False,False,False,False
K222172,False,False,False,False,False,False,False
K222174,False,False,False,False,False,True,False
K222176,False,False,False,False,False,False,False
K222179,True,True,True,False,False,True,True
K222268,True,True,True,False,False,True,True
K222275,False,False,False,False,False,False,False
K222277,False,False,False,False,False,False,False
K222312,False,False,False,False,False,False,False
K222329,False,False,False,False,False,False,False
K222360,False,False,False,False,False,False,False
K222361,False,False,False,False,False,False,False
K222389,False,False,False,False,False,False,False
K222406,False,False,False,False,False,False,False
K222428,False,False,False,False,False,False,False
K222458,False,False,False,False,False,True,False
K222579,False,False,False,False,False,False,False
K222593,False,False,False,False,False,True,False
K222676,False,True,True,False,False,False,False
K222692,False,False,False,False,False,False,False
K222728,True,True,True,False,False,True,True
K222745,False,False,False,False,False,False,False
K222746,False,False,False,False,False,False,False
K222755,True,True,True,False,False,True,True
K222803,False,False,False,False,False,True,False
K222819,False,False,False,False,False,False,False
K222884,False,False,False,False,False,False,False
K222921,False,False,False,False,False,False,False
K222970,False,False,False,False,False,False,False
K223028,False,False,False,False,False,False,False
K223032,False,False,False,False,False,False,False
K223042,False,False,False,False,False,False,False
K223073,False,False,False,False,False,False,False
K223106,False,False,False,False,False,False,False
K223133,True,False,True,True,False,True,True
K223180,False,False,False,False,False,False,False
K223212,False,False,False,False,False,True,False
K223240,True,True,True,False,False,True,True
K223247,False,False,False,False,False,False,False
K223268,False,False,False,False,False,False,False
K223287,False,False,False,False,False,True,False
K223288,False,False,False,False,False,False,False
K223296,False,True,True,False,False,True,False
K223311,False,False,False,False,False,False,False
K223325,False,False,False,False,False,False,False
K223343,False,True,True,False,False,False,False
K223347,False,False,False,False,False,False,False
K223357,True,False,True,False,False,False,True
K223387,False,True,True,False,False,True,False
K223396,False,False,False,False,False,False,False
K223424,False,False,False,False,False,False,False
K223426,False,False,False,False,False,False,False
K223439,False,False,False,False,False,False,False
K223442,False,False,False,False,False,False,False
K223443,False,False,False,False,False,True,False
K223458,False,False,False,False,False,False,False
K223473,True,False,True,False,False,True,True
K223490,True,False,True,False,False,False,True
K223491,False,False,False,False,False,True,False
K223501,True,False,True,False,False,False,True
K223502,False,False,False,False,False,False,False
K223504,False,False,False,False,False,True,False
K223514,False,False,False,False,False,False,False
K223516,False,False,False,False,False,False,False
K223523,False,False,False,False,False,False,False
K223539,False,False,False,False,False,False,False
K223552,False,False,False,False,False,False,False
K223553,False,False,False,False,False,False,False
K223556,False,False,False,True,False,False,False
K223621,False,True,True,False,False,False,False
K223622,False,False,False,False,False,True,False
K223623,False,False,False,False,False,False,False
K223630,False,False,False,False,False,False,False
K223639,False,False,False,False,False,True,False
K223646,False,False,False,False,False,False,False
K223659,False,False,False,False,False,False,False
K223724,True,False,True,False,False,False,True
K223726,False,False,False,False,False,False,False
K223734,False,False,False,False,False,False,False
K223738,False,False,False,False,False,False,False
K223754,False,True,True,False,False,True,False
K223757,False,False,False,True,False,True,False
K223771,False,True,True,False,False,True,False
K223774,False,False,False,False,False,False,False
K223811,False,False,False,False,False,False,False
K223830,False,True,True,False,False,False,False
K223855,False,False,False,False,False,False,False
K223864,False,False,False,False,False,False,False
K223905,False,False,False,False,False,False,False
K230020,False,False,False,False,False,False,False
K230023,False,True,True,True,False,True,False
K230039,False,False,False,False,False,False,False
K230045,False,False,False,False,False,False,False
K230074,False,False,False,False,False,False,False
K230082,False,True,True,False,False,True,False
K230084,False,True,True,False,False,True,False
K230085,False,False,False,False,False,False,False
K230096,False,False,False,False,False,False,False
K230112,False,False,False,False,False,False,False
K230144,False,False,False,False,False,False,False
K230150,False,False,False,False,False,False,False
K230179,False,False,False,False,False,True,False
K230197,False,True,True,False,False,True,False
K230208,False,False,False,False,False,False,False
K230209,False,False,False,False,False,True,False
K230220,False,False,False,False,False,False,False
K230223,False,False,False,False,False,False,False
K230252,False,False,False,False,False,False,False
K230264,False,False,False,False,False,False,False
K230273,False,False,False,False,False,False,False
K230292,False,False,False,False,False,False,False
K230337,False,False,False,False,False,False,False
K230346,False,True,True,False,False,True,False
K230355,False,False,False,False,False,False,False
K230365,True,True,True,False,False,False,True
K230370,False,False,False,False,False,False,False
K230497,False,True,True,False,False,True,False
K230534,False,False,False,False,False,False,False
K230552,False,False,False,False,False,False,False
K230553,False,False,False,False,False,False,False
K230575,False,False,False,False,False,False,False
K230658,False,False,False,False,False,False,False
K230685,True,False,True,False,False,False,True
K230751,True,False,True,False,False,True,True
K230772,False,False,False,False,False,False,False
K230807,False,False,False,False,False,False,False
K230812,False,False,False,False,False,True,False
K230823,False,False,False,False,False,False,False
K230842,False,False,False,False,False,True,False
K230850,False,False,False,False,False,False,False
K230854,False,False,False,False,False,True,False
K230899,False,False,False,False,False,False,False
K230913,False,False,False,False,False,False,False
K230977,False,False,False,False,False,False,False
K231001,False,True,True,True,False,False,False
K231010,False,False,False,False,False,False,False
K231025,False,False,False,True,False,False,False
K231038,False,False,False,False,False,False,False
K231068,False,False,False,False,False,False,False
K231094,True,True,True,False,False,True,True
